scenario	human_gene_name	mouse_component	human_component	pharmacology_component	penalty_component	scenario_score	scenario_rank	top10	median_rank_all_scenarios	rank_range_all_scenarios	top10_frequency_all_scenarios
omit_mouse	ITGB1	0.0	5.943079944022225	9.5	15.0	0.44307994402222484	87	False	86.0	63-92	0.0
omit_mouse	FBLN1	0.0	13.000630576935329	1.4041392900611847	14.0	0.4047698669965136	88	False	83.0	63-88	0.0
omit_mouse	TGFBR2	0.0	7.810770907147257	5.5	13.0	0.31077090714725664	89	False	89.0	73-90	0.0
omit_mouse	THBS2	0.0	10.807426677741965	2.9527802188472454	14.0	-0.23979310341078985	90	False	81.0	59-90	0.0
omit_mouse	SMPX	0.0	9.54839073443462	0.8531882898651648	12.0	-1.5984209757002166	91	False	91.0	79-91	0.0
omit_mouse	CRIP2	0.0	9.962888272068437	0.12417883117405981	12.0	-1.9129328967575034	92	False	93.0	82-94	0.0
omit_mouse	LOX	0.0	8.216561043764852	8.849266211611926	20.0	-2.934172744623222	93	False	90.0	46-93	0.0
omit_mouse	CKB	0.0	4.339635126645433	3.837823325377173	12.0	-3.8225415479773943	94	False	94.0	80-96	0.0
omit_mouse	XIRP2	0.0	6.978885873872303	0.8874035921687083	12.0	-4.133710533958988	95	False	92.0	84-95	0.0
omit_mouse	MYL6	0.0	12.799369007893063	0.10643899814919411	20.0	-7.094191993957743	96	False	96.0	69-96	0.0
omit_mouse	CTHRC1	0.0	7.47156519857569	1.0672444664800795	20.0	-11.46119033494423	97	False	97.0	87-97	0.0
omit_human	CD74	38.246395779255145	0.0	20.0	0.0	58.246395779255145	1	True	2.0	1-10	1.0
omit_human	COL6A2	37.11388253125003	0.0	24.49645966091785	4.0	57.61034219216788	2	True	3.0	2-8	1.0
omit_human	COL6A1	37.35714096737006	0.0	24.0	4.0	57.35714096737006	3	True	1.0	1-7	1.0
omit_human	FN1	38.42100883309308	0.0	30.0	14.0	54.42100883309308	4	True	4.0	1-26	0.9473684210526315
omit_human	TNFRSF12A	35.364703672593905	0.0	18.669937898515077	0.0	54.03464157110898	5	True	9.0	5-18	0.9473684210526315
omit_human	IL1B	31.410083711419297	0.0	25.554570149158685	3.0	53.96465386057798	6	True	18.0	6-88	0.05263157894736842
omit_human	LOXL2	34.71505115627345	0.0	18.886991651243285	0.0	53.60204280751673	7	True	12.0	7-33	0.15789473684210525
omit_human	COL18A1	37.59280026623878	0.0	25.813443833940156	10.0	53.40624410017894	8	True	6.0	5-34	0.9473684210526315
omit_human	CSF1	35.68213445869026	0.0	18.0	1.0	52.68213445869026	9	True	16.0	9-47	0.05263157894736842
omit_human	MYH7	37.141655837024786	0.0	30.0	15.0	52.141655837024786	10	True	5.0	2-64	0.9473684210526315
omit_human	COL5A1	38.09648599864171	0.0	26.412247207510944	14.0	50.508733206152655	11	False	7.0	4-53	0.8947368421052632
omit_human	ENG	34.80176886679815	0.0	20.888693907032213	8.0	47.69046277383036	12	False	15.0	12-66	0.0
omit_human	TNNT2	35.64486586272267	0.0	26.0	14.0	47.64486586272267	13	False	10.0	6-69	0.631578947368421
