candidate_gene	candidate_mouse_spatial_score	null_index	matched_mouse_gene	matched_mouse_spatial_score	detection_distance	effect_percentile_distance	seed
COL18A1	37.59280026623878	5	Osbpl8	32.085302752985015	0.006464034094865179	0.05935994510502374	20260711
COL18A1	37.59280026623878	6	Selenon	36.80427566064861	0.014981273408239737	0.03854224185532862	20260711
COL18A1	37.59280026623878	7	Ms4a7	38.76777422647448	0.007490636704119813	0.019105466593042464	20260711
COL18A1	37.59280026623878	8	Raly	36.04193949381678	0.04161464835622136	0.031032578685808998	20260711
COL18A1	37.59280026623878	9	Ptn	37.36915429547222	0.0078031513785459805	0.0003313086692435796	20260711
COL18A1	37.59280026623878	10	Matn2	36.777374325882505	0.03590518337162857	0.017338487023743854	20260711
COL18A1	37.59280026623878	11	Serpinb1a	33.48788114626103	0.017597884480069048	0.05136140799975342	20260711
COL18A1	37.59280026623878	12	Plin2	36.93579259293733	0.020731219568276338	0.007730535615681933	20260711
COL18A1	37.59280026623878	13	Capg	37.78211356914262	0.013732833957553037	0.0029817780231915503	20260711
COL18A1	37.59280026623878	14	Cap2	34.508356146248715	0.0036180996671048016	0.06687129555306859	20260711
COL18A1	37.59280026623878	15	Tceal9	35.9181265169084	0.0021406445574678745	0.052125897294312606	20260711
COL18A1	37.59280026623878	16	Dpep1	35.0604302300284	0.03504050546414911	0.028050800662617337	20260711
COL18A1	37.59280026623878	17	Ptbp1	36.70572050479369	0.012484394506866447	0.02705687465488682	20260711
COL18A1	37.59280026623878	18	Cdk4	36.68304067317114	0.03620474406991259	0.03346217559359477	20260711
COL18A1	37.59280026623878	19	Man2b1	37.55780262209781	0.05160216396171452	0.009055770292655918	20260711
COL18A1	37.59280026623878	20	Tgfbi	37.653893581212486	0.04411152725759471	0.006626173384870149	20260711
COL18A1	37.59280026623878	21	Fcgr3	37.63724069324668	0.043695380774032455	0.015461071231363865	20260711
COL18A1	37.59280026623878	22	Rcn1	36.31401653405064	0.005826050769870972	0.013694091662065144	20260711
COL18A1	37.59280026623878	23	Gusb	37.56911628962965	0.057522131058615145	0.004748757592490271	20260711
COL18A1	37.59280026623878	24	Spp1	37.83899448145322	0.048689138576779034	0.020872446162341185	20260711
COL18A1	37.59280026623878	25	Ftl1-ps1	37.42514772451281	0.02996254681647942	0.008061844284925401	20260711
COL18A1	37.59280026623878	26	Serp1	37.447251362666755	0.0016645859342488967	0.016344561016013337	20260711
COL18A1	37.59280026623878	27	Cd248	35.55572782196549	0.004161464835622186	0.01623412479293207	20260711
COL18A1	37.59280026623878	28	Grk2	35.91947910917408	0.016645859342488578	0.04030922142462734	20260711
COL18A1	37.59280026623878	29	Nupr1	37.58290353153075	0.008322929671244317	0.046714522363335176	20260711
COL18A1	37.59280026623878	30	Cav2	32.35365548657534	0.014720574638381667	0.03354238916698593	20260711
COL5A1	38.09648599864171	1	Tubb5	36.728038868147195	0.0553474823137744	0.0030922142462727065	20260711
COL5A1	38.09648599864171	2	Ctsa	36.89789884501817	0.030870944393438182	0.011043622308117063	20260711
COL5A1	38.09648599864171	3	Trdn	33.43124752427453	0.02253298784362734	0.030209809554253453	20260711
COL5A1	38.09648599864171	4	Itgb5	35.67831998868978	0.0024968789013732895	0.06416344561016007	20260711
COL5A1	38.09648599864171	5	Flna	37.18336854903352	0.04161464835622142	0.0008834897846493606	20260711
COL5A1	38.09648599864171	6	Myom2	34.50637638670106	0.015454041367836568	0.027495579232423295	20260711
COL5A1	38.09648599864171	7	Nexn	34.271345170699504	0.0588710903072176	0.016638657945102553	20260711
COL5A1	38.09648599864171	8	H2-Ab1	37.94324228445103	0.024468441685247533	0.005765588186935622	20260711
